name,d1,d2,d3,d4
a,0,0,0,0
b,0,0,0,-1
c,0,0,-1,0
d,0,0,-1,-1
e,0,-1,0,0
f,0,-1,0,-1
g,0,-1,-1,0
h,1,0,0,0
i,1,0,0,-1
j,1,0,-1,0
k,1,0,-1,-1
l,1,-1,0,0
m,1,-1,0,-1
n,1,-1,-1,0
o,2,0,0,0
p,2,0,0,-1
q,2,0,-1,0
r,2,0,-1,-1
s,2,-1,0,0
t,2,-1,0,-1
u,2,-1,-1,0
v,3,0,0,0
w,3,0,0,-1
x,3,0,-1,0
y,3,0,-1,-1
z,3,-1,0,0
A,3,-1,0,-1
B,3,-1,-1,0
C,4,0,0,0
D,4,0,0,-1
E,4,0,-1,0
F,4,0,-1,-1
G,4,-1,0,0
H,4,-1,0,-1
I,4,-1,-1,0
J,5,0,0,0
K,5,0,0,-1
L,5,0,-1,0
M,5,0,-1,-1
N,5,-1,0,0
O,5,-1,0,-1
P,5,-1,-1,0
Q,6,0,0,0
R,6,0,0,-1
S,6,0,-1,0
T,6,0,-1,-1
U,6,-1,0,0
V,6,-1,0,-1
W,6,-1,-1,0
X,7,0,0,0
Y,-1,0,0,0
Z,-1,0,0,-1
a1,-1,0,-1,0
b1,0,1,0,0
c1,0,1,0,-1
d1,0,1,-1,0
e1,0,1,-1,-1
f1,-1,-1,0,0
g1,0,0,1,0
h1,0,0,1,-1
i1,0,0,0,1
j1,0,0,-1,1
k1,0,-1,1,0
l1,0,-1,1,-1
m1,0,-1,0,1
n1,0,-1,-1,1
o1,-1,1,0,0
p1,-1,1,0,-1
q1,-1,1,-1,0
r1,0,2,0,0
s1,0,2,0,-1
t1,0,2,-1,0
u1,0,2,-1,-1
v1,-1,0,1,0
w1,-1,0,1,-1
x1,-1,0,0,1
y1,-1,0,-1,1
z1,-1,-1,1,0
A1,0,0,2,0
B1,0,0,2,-1
C1,-1,-1,0,1
D1,0,0,0,2
E1,0,0,-1,2
F1,0,-1,2,0
G1,0,-1,2,-1
H1,0,-1,0,2
I1,0,-1,-1,2
J1,-1,2,0,0
K1,-1,2,0,-1
L1,-1,2,-1,0
M1,0,3,0,0
N1,0,3,0,-1
O1,0,3,-1,0
P1,0,3,-1,-1
Q1,-1,0,2,0
R1,-1,0,2,-1
S1,-1,0,0,2
T1,-1,0,-1,2
U1,-1,-1,2,0
V1,0,0,3,0
W1,0,0,3,-1
X1,-1,-1,0,2
Y1,0,0,0,3
Z1,0,0,-1,3
a2,0,-1,3,0
b2,0,-1,3,-1
c2,0,-1,0,3
d2,0,-1,-1,3
e2,-1,3,0,0
f2,-1,3,0,-1
g2,-1,3,-1,0
h2,0,4,0,0
i2,0,4,0,-1
j2,0,4,-1,0
k2,0,4,-1,-1
l2,-1,0,3,0
m2,-1,0,3,-1
n2,-1,0,0,3
o2,-1,0,-1,3
p2,-1,-1,3,0
q2,0,0,4,0
r2,0,0,4,-1
s2,-1,-1,0,3
t2,0,0,0,4
u2,0,0,-1,4
v2,0,-1,4,0
w2,0,-1,4,-1
x2,0,-1,0,4
y2,0,-1,-1,4
z2,-1,4,0,0
A2,-1,4,0,-1
B2,-1,4,-1,0
C2,0,5,0,0
D2,0,5,0,-1
E2,0,5,-1,0
F2,0,5,-1,-1
G2,-1,0,4,0
H2,-1,0,4,-1
J2,-1,0,0,4
K2,-1,0,-1,4
L2,-1,-1,4,0
M2,0,0,5,0
N2,0,0,5,-1
O2,-1,-1,0,4
P2,0,0,0,5
Q2,0,0,-1,5
R2,0,-1,5,0
X2,0,-1,5,-1
T2,0,-1,0,5
U2,0,-1,-1,5
V2,-1,5,0,0
W2,-1,5,0,-1
X2,-1,5,-1,0
Y2,0,6,0,0
Z2,0,6,0,-1
a3,0,6,-1,0
b3,0,6,-1,-1
c3,-1,0,5,0
d3,-1,0,5,-1
e3,-1,0,0,5
f3,-1,0,-1,5
g3,-1,-1,5,0
h3,0,0,6,0
i3,0,0,6,-1
j3,-1,-1,0,5
k3,0,0,0,6
l3,0,0,-1,6
m3,0,-1,6,0
n3,0,-1,6,-1
o3,0,-1,0,6
p3,0,-1,-1,6
q3,-1,6,0,0
r3,-1,6,0,-1
s3,-1,6,-1,0
t3,0,7,0,0
u3,-1,0,6,0
v3,-1,0,6,-1
w3,-1,0,0,6
x3,-1,0,-1,6
y3,-1,-1,6,0
z3,0,0,7,0
A3,-1,-1,0,6
B3,0,0,0,7
